"";"tailnum";"year";"type";"manufacturer";"model";"engines";"seats";"speed";"engine"
"1";"N101DQ";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"2";"N101DU";2018;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"3";"N101HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"4";"N101NN";2013;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"5";"N102DN";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"6";"N102DU";NA;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"7";"N102HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"8";"N102NN";2013;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"9";"N102UW";1998;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"10";"N103DU";NA;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"11";"N103DY";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"12";"N103HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"13";"N103NN";2013;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"14";"N103SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"15";"N103US";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"16";"N104DN";NA;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"17";"N104DU";NA;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"18";"N104HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"19";"N104NN";2013;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"20";"N104UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"21";"N105DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"22";"N105DX";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"23";"N105HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"24";"N105NN";2013;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"25";"N105SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"26";"N105UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"27";"N106DN";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"28";"N106DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"29";"N106HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"30";"N106NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"31";"N106SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"32";"N107DN";2020;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"33";"N107DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"34";"N107HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"35";"N107NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"36";"N107SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"37";"N107US";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"38";"N108DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"39";"N108DQ";NA;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"40";"N108HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"41";"N108NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"42";"N108SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"43";"N108UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"44";"N109DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"45";"N109DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"46";"N109HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"47";"N109NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"48";"N109SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"49";"N109UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"50";"N110AN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"51";"N110DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"52";"N110DX";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
